name,category,transcript_description,named_clients,verification_note
Surf Office,retreat planning company,Organizes retreats in more than 200 destinations,Webflow; Monday.com; Shopify,Company and client claims require verification
BoomPop,corporate offsite platform/company,Raised tens of millions of dollars to simplify corporate offsites,,Funding claim requires verification
Offsite,corporate offsite platform/company,Built a platform for distributed companies to gather in person,,
TeamOut,retreat planning company,Named as part of the retreat economy,,
Moniker Partners,retreat planning company,Named as part of the retreat economy,,
Flok,retreat planning company,Named as part of the retreat economy,,
WorkTripp,retreat planning company,Named as part of the retreat economy,,
NextRetreat,retreat planning company,Named as part of the retreat economy,,
WeWork,flexible office company,Sold permanent proximity; valued at $47 billion in 2019 before Chapter 11 bankruptcy,,Valuation and bankruptcy require verification
Remote Year,remote travel/community company,Shut down,,Requires verification
Selina,hospitality/coliving company,Collapsed,,Requires verification
Hacker Paradise,remote travel/community company,Merged,,Requires verification
